Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Heather Doran,968.0,979.8955200000001,984.1474800000002,988.1474800000002,1032.5411800000002,1060.02888,1198.7034200000003,1791.2575
Craig Fotheringham,1670.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0
Ben George Lawrie,804.0,825.4395999999999,828.90416,834.90416,907.4766,930.1606999999998,1150.06022,0.0
Lloyd Melville,1562.0,1562.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0
Calum Nicol,542.0,723.6141600000001,724.16534,730.16534,743.30366,745.3972200000001,0.0,0.0
Blake Sharp,67.0,67.13832,68.16194,0.0,0.0,0.0,0.0,0.0
James Richard Whitehead,287.0,287.82992,291.60943999999995,300.14146,0.0,0.0,0.0,0.0
Beth Whiteside,1294.0,1296.7664,1401.01816,1427.4906,1557.30608,1439.0,1439.0,1439.0
