Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Colin Brown,698.0,701.6415000000002,715.5081000000004,727.4535500000002,753.70567,756.01673,833.32799,0.0
Linda Clark,1270.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0
Lynne Devine,810.0,973.4305200000005,974.5650600000006,983.77375,1097.76962,1085.0,1085.0,1085.0
Ross Greig,1158.0,1158.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0
Marley Hunter,228.0,235.13734000000005,237.02824000000007,248.53248000000002,0.0,0.0,0.0,0.0
Ed Mcadam,298.0,299.89358000000004,309.4741399999999,333.55838,366.43656999999996,368.18524,0.0,0.0
Ian Mclaren,869.0,872.2045200000001,893.0674500000003,924.5256200000003,958.6125000000001,961.1966500000001,1082.20832,1708.57091
Samuel David Struth,90.0,90.87396000000001,99.31997999999999,0.0,0.0,0.0,0.0,0.0
