Candidate,Round 1
Tony Buchanan,1938.0
Farooq Choudhry,501.0
Adrian Egglestone,322.0
Carol Mckenzie,55.0
Derek Mcmillan,23.0
Andrew Morrison,1579.0
Owen O'Donnell,1532.0
Maria Reid,84.0
