Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Malcolm Bangor-Jones,311.0,327.0,341.0,367.0,0.0,0.0
Kirsteen Currie,556.0,564.0,571.0,612.0,681.0,689.0
Hugh Morrison,473.0,480.0,521.0,556.0,669.0,804.0
Linda Munro,504.0,510.0,521.0,587.0,671.0,899.0
Brendan O'Hanrahan,52.0,0.0,0.0,0.0,0.0,0.0
Michael Simpson,89.0,91.0,0.0,0.0,0.0,0.0
William Sinclair,265.0,269.0,274.0,0.0,0.0,0.0
Russell Taylor,557.0,561.0,565.0,622.0,658.0,0.0
