Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Andy Doig,1416.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0
Chris Gilmour,968.0,1017.8072499999995,1018.4656499999995,1036.1243999999997,1056.7613999999999,1242.80115,1165.0,1165.0
Gillian Graham,689.0,723.3864999999996,724.4152499999999,749.0739999999998,788.3027,934.8929999999999,1000.20346,1264.6013699999999
Heather Hudson,234.0,262.36,265.28165,280.1587999999999,0.0,0.0,0.0,0.0
Andrew Jackson,89.0,107.43400000000001,107.59860000000002,0.0,0.0,0.0,0.0,0.0
Louise Reid,628.0,667.704,667.90975,686.5685000000001,696.6955,0.0,0.0,0.0
Emma Rodden,1215.0,1215.0,1165.0,1165.0,1165.0,1165.0,1165.0,1165.0
Graeme Stockton,582.0,625.07175,668.5261499999999,673.2763,811.3511999999998,826.94645,828.7882800000001,0.0
