Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Gerry Boyle,427.0,432.7735999999998,437.02103999999974,452.35096,534.47552,0.0,0.0,0.0
Maureen Burke,1176.0,1079.0,1079.0,1079.0,1079.0,1079.0,1079.0,1079.0
Stephen Docherty,342.0,411.7780800000002,415.1080000000002,438.68535999999995,0.0,0.0,0.0,0.0
Frances Howell,524.0,527.0517600000001,528.0517600000001,543.0517600000001,607.7741599999999,684.24856,684.9634599999999,0.0
Ruairi Kelly,971.0,974.7116000000001,979.95904,991.95904,1030.98008,1160.62968,1079.0,1079.0
Jenny Kiernan,34.0,35.15472,0.0,0.0,0.0,0.0,0.0,0.0
Mandy Morgan,739.0,740.9795200000002,743.9795200000001,771.0620000000001,792.8663199999999,871.9385599999999,940.424,1035.68811
Carole Ure,102.0,103.2372,109.40216,0.0,0.0,0.0,0.0,0.0
