3,2,
36,1,
23,1,2,
39,1,2,3,
5,1,3,
28,1,3,2,
52,2,
16,2,1,
38,2,1,3,
94,2,3,
76,2,3,1,
42,3,
17,3,1,
25,3,1,2,
89,3,2,
81,3,2,1,
"Candidate 1","Kenny Barker","Conservative and Unionist Party (Con)",
"Candidate 2","Mustapha Hocine","Independent (Ind)",
"Candidate 3","Uisdean Robertson","Independent (Ind)",
"Ward 3 Uibhist a Tuath",
