Candidate,Round 1,Round 2,Round 3
Bill Binks,696.0,866.36976,888.86256
Jim Gibbons,1338.0,1338.0,1186.0
Eric Gotts,1751.0,1186.0,1186.0
Maureen Henry,955.0,1177.31963,1233.77883
