Candidate,Round 1,Round 2,Round 3
Malcolm John Bell,715.0,249.0,249.0
John Finlay Sinclair Fraser,124.0,243.92015999999998,287.72762
Stephen Arthur Leask,130.0,337.25332,249.0
Thomas Williamson,26.0,54.676559999999995,68.92530000000001
