Candidate,Round 1,Round 2,Round 3,Round 4
Angus Anderson,698.0,704.9860199999999,726.4621900000001,0.0
Louise Margaret Laing,776.0,782.37854,820.7261500000001,1457.62146
Derek Ross,858.0,1106.45932,910.0,910.0
Walter Wilson,1307.0,910.0,910.0,910.0
