Candidate,Round 1,Round 2,Round 3
Alec Clark,1609.0,850.0,850.0
Ian Fitzsimmons,538.0,741.31132,0.0
John Mcdowall,579.0,766.74456,956.8984800000001
Alec Oattes,670.0,822.8372800000001,985.9719600000001
