Candidate,Round 1,Round 2,Round 3,Round 4
Ian Brown,1430.0,878.0,878.0,878.0
David Gregg,835.0,1009.09051,878.0,878.0
Isabelle Mackenzie,757.0,781.70464,818.56448,1101.41074
Lewis Whyte,486.0,657.77445,722.3493900000001,0.0
