Candidate,Round 1,Round 2,Round 3,Round 4
Stephen Clackson,308.0,308.0,264.0,264.0
Stephen Hagan,433.0,264.0,264.0,264.0
Graham Sinclair,144.0,238.0623,249.4903,375.10685
Gillian Skuse,170.0,219.1778,237.7483,0.0
