Candidate,Round 1,Round 2,Round 3
Helen Coffey,1475.0,825.0,825.0
Ian Grant,383.0,417.37226,476.46734000000004
Andrew Hershaw,263.0,817.36286,920.6300200000001
Maureen Mckay,1176.0,1176.0,825.0
