Candidate,Round 1,Round 2,Round 3,Round 4
Rosemary Elizabeth Bruce,968.0,1689.59843,1196.0,1196.0
Eileen Durno,1046.0,1088.1064000000001,1162.3542899999998,1417.63737
Iain Gillies,241.0,352.58196,596.11625,0.0
Ann Ross,2525.0,1196.0,1196.0,1196.0
